is_blue,is_local,is_core,arpu,brand,gender,age,id_area,avg_time,avg_distance,avg_speed,n_obs,manhua_ltime,manhua_lflux,jinrongye_ltime,jinrongye_lflux,zhuti_zhuomian_ltime,zhuti_zhuomian_lflux,wuliu_kuaidi_ltime,wuliu_kuaidi_lflux,yule_zixun_ltime,yule_zixun_lflux,dongzuo_youxi_ltime,dongzuo_youxi_lflux,qiche_xinxi_ltime,qiche_xinxi_lflux,caijing_zixun_ltime,caijing_zixun_lflux,waiyu_ltime,waiyu_lflux,junshi_zixun_ltime,junshi_zixun_lflux,lvyou_chuxing_ltime,lvyou_chuxing_lflux,bangong_wenjiao_ltime,bangong_wenjiao_lflux,shouji_shuma_ltime,shouji_shuma_lflux,shequ_luntan_ltime,shequ_luntan_lflux,hunlian_jiaoyou_ltime,hunlian_jiaoyou_lflux,gongju_ruanjian_ltime,gongju_ruanjian_lflux,tuangou_dazhe_ltime,tuangou_dazhe_lflux,waimai_songcan_ltime,waimai_songcan_lflux,dache_ruanjian_ltime,dache_ruanjian_lflux,cidian_fanyi_ltime,cidian_fanyi_lflux,shejiao_wangluo_ltime,shejiao_wangluo_lflux,anquan_shadu_ltime,anquan_shadu_lflux,dianying_ltime,dianying_lflux,shouji_yuedu_ltime,shouji_yuedu_lflux,liulanqi_ltime,liulanqi_lflux,keji_zixun_ltime,keji_zixun_lflux,fuzhuang_fangzhi_ltime,fuzhuang_fangzhi_lflux,shijian_tianqi_ltime,shijian_tianqi_lflux,dianzi_zhifu_ltime,dianzi_zhifu_lflux,yiliao_jiankang_ltime,yiliao_jiankang_lflux,weizhang_chaxun_ltime,weizhang_chaxun_lflux,shouji_shipin_ltime,shouji_shipin_lflux
0,N,N,138,欧珀,01,11,429001,1690.72700000000009,1544.54500000000007,398.817999999999984,11,,,,,,,1180799,1804339,,,,,1326522,143968163,65301,8036,,,,,2864272,42339350,,,2602588,34480747,,,,,779491,3368927,69701185,1213716524,3413122,4345028,5268041,36696552,49000,26116,6798773,13062665,793860,625936,,,64107041,65263429,813827,928569,,,,,,,4934517,29896246,413291,1156860,,,98790475,8170615130
0,Y,Y,17,"""""",01,06,350125,,,,,,,,,,,,,,,,,,,,,,,,,809776,797560,,,186,2339,500224,3781038,74,5882,,,1000,168,,,,,,,4594650,144186833,613,3095,,,,,,,,,,,,,1480483,465852,,,,,46706,6443107
0,,,,,,,,1599.875,15634.125,50.6880000000000024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,N,158.300000000000011,苹果,01,05,350204,549.399999999999977,3652.59999999999991,24.1999999999999993,5,,,,,,,,,,,,,131984,1228452,,,,,,,17004800,79330911,,,,,,,131,1341,920810,114356166,64588663,1013519954,145298,12646141,36239523,187661902,10215,930249,7608125,158475133,678921,1701567,,,196182,1584385,1287,7468,,,151000,8481,,,4227088,69977775,,,,,551083189,11093950585
0,,,,,,,,2719.77599999999984,8567.36199999999917,47.4660000000000011,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Y,Y,85.7999999999999972,苹果,02,09,350321,555.336999999999989,5252.17799999999988,506.771999999999991,101,,,,,,,235013,18712093,,,25,263,10214,22980,,,,,,,14780592,98714004,,,69683,11643,,,,,2312501,19679684,12814093,154501291,752578,14885498,5854771,75545019,480139,399944,1480846,37099597,214,345,,,3502295,61748181,18675,255217,40,177,,,5000,120,3234568,10592694,702129,750294,,,56584732,2035415264
0,Y,Y,0,苹果,01,04,361025,1108.92000000000007,3231.59999999999991,36.240000000000002,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,555.094000000000051,2223.5630000000001,247.375,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N,Y,10,维沃,02,13,410782,752,2375,67.4210000000000065,19,,,,,,,1776,720,,,,,611,16175,2607,17199,,,,,21405,42499,,,6780978,708401,,,6,235,404,4403,1893453,822303,98206,107500,602998,381552,,,3361095,4341707,35041,13747,6,163,102158771,20319383,742061,601731,,,,,84001,30173,2265419,12532934,115210,3837,,,561210507,12123694942
0,,,,,,,,1192.44000000000005,10029.2929999999997,142.173000000000002,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
